2014/08/03,"[0.43847668170928955, 0.5046027898788452, 7.814518928527832, 6.110519886016846, -3.250227928161621, -14.162561416625977, 14.973901748657227, 6.6047868728637695, -13.057544708251953, 1.0346624851226807]"
2014/08/04,"[0.135322704911232, -3.4067294597625732, 9.320502281188965, 12.431560516357422, -6.085301876068115, -24.12866973876953, 21.903064727783203, 12.98703670501709, -20.161100387573242, 1.2914927005767822]"
2014/08/05,"[-2.8826332092285156, -1.6494276523590088, 6.314235687255859, 10.907758712768555, -6.576185703277588, -20.65856170654297, 17.695722579956055, 10.059447288513184, -14.78918170928955, -3.077155828475952]"
2014/08/06,"[-2.329864501953125, -0.7700268030166626, -0.22132475674152374, 7.836513996124268, -5.325082302093506, -7.470510005950928, 4.085100173950195, 4.52972936630249, -6.118185520172119, -6.1205291748046875]"
2014/08/07,"[-5.603371620178223, -0.3055262863636017, 9.877424240112305, 24.260969161987305, -13.637639045715332, -33.96487808227539, 28.27493667602539, 19.747507095336914, -23.611772537231445, -4.481118202209473]"
2014/08/08,"[-0.7193627953529358, -7.116001129150391, 11.905747413635254, 19.62356948852539, -11.548821449279785, -33.685401916503906, 26.668336868286133, 20.15812873840332, -22.18062973022461, 2.310603380203247]"
2014/08/09,"[-2.490466594696045, 2.6076784133911133, -0.3567492663860321, 11.258010864257812, -6.862565994262695, -5.212589263916016, 2.1012425422668457, 5.750967025756836, -5.7760491371154785, -6.955490589141846]"
2014/08/10,"[-0.6029910445213318, 2.732701301574707, 2.6114072799682617, 5.07476282119751, -2.8155362606048584, -3.416926383972168, 3.1676230430603027, 2.756507635116577, -2.718757390975952, -1.9185059070587158]"
2014/08/11,"[1.5477021932601929, -5.717497825622559, 19.072019577026367, 12.54678726196289, -5.843166351318359, -39.76631546020508, 39.250484466552734, 16.10749053955078, -33.80337142944336, 3.3491408824920654]"
2014/08/13,"[-1.6457942724227905, -0.9725264310836792, 8.742646217346191, 10.93112850189209, -5.684507369995117, -21.871112823486328, 20.819713592529297, 9.497724533081055, -17.790971755981445, -2.530656099319458]"
2014/08/15,"[-2.4710371494293213, 0.6247647404670715, 0.4323218762874603, 10.501337051391602, -6.9270710945129395, -8.834431648254395, 5.670124530792236, 7.496018409729004, -6.505856990814209, -2.961458921432495]"
