"original_date","home_team_name","away_team_name","away_win","away_loss","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so","away_team_runs","home_team_runs","gameday_link","isHome","score_diff","opponent","wins","opponentAngels","opponentAstros","opponentAthletics","opponentBlue.Jays","opponentBraves","opponentBrewers","opponentCardinals","opponentCubs","opponentD.backs","opponentDodgers","opponentGiants","opponentIndians","opponentMariners","opponentMarlins","opponentMets","opponentNationals","opponentPadres","opponentPhillies","opponentPirates","opponentRangers","opponentRays","opponentRed.Sox","opponentReds","opponentRockies","opponentRoyals","opponentTides","opponentTigers","opponentTwins","opponentWhite.Sox","opponentYankees"
"2014/05/11","Orioles","Astros",12,26,11,0,"2","0","8",20,15,8,0,"0","0","9",5,2,"2014_05_11_houmlb_balmlb_1",1,-3,"Astros",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/12","Orioles","Tigers",22,12,5,1,"1","1","4",20,16,6,0,"0","0","9",4,1,"2014_05_12_detmlb_balmlb_1",1,-3,"Tigers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2014/05/13","Orioles","Tigers",23,12,6,0,"2","1","7",20,17,7,0,"1","0","10",4,1,"2014_05_13_detmlb_balmlb_1",1,-3,"Tigers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2014/05/14","Orioles","Tigers",24,12,9,0,"1","3","6",20,18,9,1,"1","0","6",7,5,"2014_05_14_detmlb_balmlb_1",1,-2,"Tigers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2014/05/15","Royals","Orioles",21,18,10,0,"1","0","4",20,20,7,0,"0","0","13",2,1,"2014_05_15_balmlb_kcamlb_1",-1,1,"Royals",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2014/05/16","Royals","Orioles",22,18,8,0,"1","0","3",20,21,5,1,"0","0","2",4,0,"2014_05_16_balmlb_kcamlb_1",-1,4,"Royals",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2014/05/17","Royals","Orioles",22,19,3,1,"0","0","1",21,21,4,0,"0","2","7",0,1,"2014_05_17_balmlb_kcamlb_1",-1,-1,"Royals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2014/05/18","Royals","Orioles",22,20,12,0,"1","0","8",22,21,11,0,"2","1","3",6,8,"2014_05_18_balmlb_kcamlb_1",-1,-2,"Royals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2014/05/20","Pirates","Orioles",23,20,12,0,"4","0","9",18,26,10,0,"1","0","6",9,2,"2014_05_20_balmlb_pitmlb_1",-1,7,"Pirates",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2014/05/21","Pirates","Orioles",23,21,12,0,"1","1","6",19,26,13,1,"0","0","9",8,9,"2014_05_21_balmlb_pitmlb_1",-1,-1,"Pirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
